Sigla,Estado,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AC,Acre,135.8882961653,,,,,,83.42878200930001,15.8867367793,80.6928194402,55.9044128932,56.7877345149,100.3366917017,181.8709013518,0.0,102.6277492082,683.829651315,0.0,123.7049008204,169.50135121789998,1018.3652206265001,3574.0494480018997,7643.921367349223
AM,Amazonas,875.2875076690001,811.3956204289,809.3233844030999,1538.7940874486,2206.2762994355,2110.907174417,1911.6698498326,1759.4560983183999,1649.3383377767998,496.9281146063,479.2688973283,147.7685823243,299.1176245584,431.054848815,36.5959415781,0.0,0.0,0.0,0.0,0.0,5056.8220455931,5277.129007489972
AP,Amapá,,,,,,,,,,,,,0.0,0.0,9000.2149363718,26656.0781556253,16426.0920172389,23587.669857976303,29672.5271549065,30765.873258224598,26960.7276706375,23465.809557605655
MA,Maranhão,243966.356391001,256386.81894609352,279537.79391077516,380598.87045386113,661393.3462593161,658178.0754072202,683767.9130750804,403549.5920913331,192463.24786525758,488737.6004839457,397233.1402283278,423397.12303578475,955923.612733304,1043600.0390648252,1051249.44882502,1279353.0675709378,1337234.2158282525,834146.5869209326,1420984.2879829423,1846383.985584104,1723906.0330969922,2746498.1510480787
MT,Mato Grosso,3470093.0890785544,4793548.071749686,4716569.813499645,7680936.281398576,11184943.322960977,14866918.337815324,9605948.2461544,5881829.963204473,3363401.473376496,5181561.589753976,5147793.9368419135,3983032.356943036,12223732.536379356,12771501.745976273,14213391.9395153,17457434.79311633,16374445.01532596,17437397.778376743,17007083.292375516,17554375.29739016,18409345.48651537,22939332.03275731
PA,Pará,1887.0950728801001,1636.6519901261997,1785.5175697136,8372.1796831925,34785.90050679899,86029.51193776057,149008.1199503544,106341.84431709372,41246.0488134094,76548.1526209243,76824.99290881881,68326.0945177457,211722.6556422636,302299.44968804123,381095.81544333545,479594.7418298084,619068.6297809638,975734.1413271452,918112.941686383,985569.0585701308,1079400.016658252,1428548.9019628782
RO,Rondônia,8720.6910065433,18806.959901875798,40115.74053824279,95498.3209653752,130488.3384766536,164007.90646797168,145970.1615433966,134793.6659942627,57822.414168615396,92062.144832241,110052.67129213129,115272.26433734818,303063.3922354133,507435.37327591813,402437.6138949505,443770.03504830087,418031.423264368,494716.8330564377,582255.4989806857,585436.4394326431,683989.1211016143,884772.4205150814
RR,Roraima,,,,,,27335.1661846753,21989.237768542796,17125.902248190603,4879.3402733811,7537.260704981,1247.3719615859,1251.4721910427,6979.4112396953,9578.9966403345,29122.4138566982,22574.4929768494,46146.26360003301,55493.3841239398,34254.5709019099,77626.4847129403,72922.74511214899,162262.74586100387
TO,Tocantins,66983.7277494781,83288.2411724998,104738.54407481069,176967.01929395067,351457.3168288002,580652.4596486811,561206.7170216588,351605.25840162754,182803.57340192198,307059.1288835419,274430.1538892953,263875.0094303812,745189.707016665,828968.9350572166,957204.2434808689,1439460.6783375973,1372464.7268131238,1220868.4071770268,1397605.3398795761,1530335.3056091527,1575215.2376683746,2452103.4828201374
