Sigla,Codigo,Estado,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AC,12,Acre,9864,11194,10652,13487,14160,15083,12745,14078,14944,13740,8444,10851,11138,10753,11948,12814,12483,12304,12174,10657,10354,10203
AM,13,Amazonas,61397,58333,48182,49749,51426,49211,41809,42580,36553,41303,43839,29048,32947,29839,30986,19422,22559,20103,26212,25686,21896,20837
AP,16,Amapá,1283,1391,2098,1536,1529,1544,1814,1872,2153,2610,2922,3023,2855,3673,3796,3509,3481,3282,3260,2481,2521,2524
MA,21,Maranhão,28896,30852,31648,31696,31821,33075,34687,36066,37439,37927,35716,36181,36484,34330,32942,31106,26757,25790,27100,25594,21561,19056
MT,51,Mato Grosso,91480,95999,97303,72208,78766,78866,72982,53936,56021,60096,54806,51794,57060,56909,55885,53499,50351,47192,45448,44509,39132,37589
PA,15,Pará,202709,203676,212916,213106,232423,229621,234547,249466,252318,250951,243956,255267,255425,262855,259946,296533,453059,499720,528818,544369,586389,651600
RO,11,Rondônia,204041,249205,259811,180606,231594,213778,213924,201710,198416,198718,194061,195653,191734,164276,129151,112165,106669,105169,98552,85938,83343,83545
RR,14,Roraima,4305,4305,4395,3880,4088,4941,4955,5502,5502,5529,6199,6052,6225,7081,11640,11670,14524,9507,9887,9365,9932,10007
TO,17,Tocantins,6665,6156,6402,6734,6969,6835,7093,6841,6934,6596,5876,5286,6398,6068,5305,4174,4173,4572,4083,13046,13704,5286
